BEYCHAC ET CAILLAU;LATRESNE;Laura NAVARRO
SARDIEU;LA FRETTE;Darya WAGNER
ST SAUVEUR DE PIERREPONT;MARCHESIEUX;Patrick MAGOMEDOV
SEUILLY;BOURNAND;Werner BONDARENKO
PRADELLES CABARDES;TREVILLE;Anastasiya JENSEN
CHAMPROND EN PERCHET;LA GAUDAINE;Christine PEREZ
BIRAN;COX;Alina ROBERTS
LES TOUCHES;GRAND AUVERNE;Maksim VARGA
OMET;MIMIZAN;Mária IVANOV
MIRANDE;LAMOTHE;Andrea MAGOMEDOV
GRUISSAN;SERIGNAN;Francesco WILLIAMS
CERVIERES;VILLAR ST PANCRACE;Mariya JIMENEZ
BRETX;ST JORY;Olga VASILEVA
PERTHES;ALINCOURT;Sandra SZABÓ
GENISSIEUX;VERNIOZ;Robert SMIRNOVA
SARTILLY BAIE BOCAGE;AHETZE;Angela POPOVA
LA PRENESSAYE;ALLINEUC;Marina SCHNEIDER
VILLERS STONCOURT;CHANVILLE;Barbara VOLKOVA
ST LACTENCIN;CINQ MARS LA PILE;Dmitriy BAUER
MANSIGNE;ST JEAN DE LA MOTTE;Angela SHEVCHENKO
ITTENHEIM;BREUSCHWICKERSHEIM;Nikolay LOPEZ
LA FRANCHEVILLE;TOULIGNY;Tomasz KUZNETSOVA
SOUCLIN;SAULT BRENAZ;Marina FERNANDEZ
SAVIGNY SOUS MALAIN;BESSEY LES CITEAUX;Denis SCHNEIDER
VILLERS SUR BAR;DOM LE MESNIL;Richard ALONSO
MONTREUIL POULAY;ECHALOU;Yvan WILLIAMS
BREVILLIERS;MEDIERE;Claude WOLF
BLAIGNAN PRIGNAC;MORTAGNE SUR GIRONDE;Elena MORENO
LAPLUME;XAINTRAILLES;Andrei NAVARRO
CLEYRAC;CASTELMORON D ALBRET;Christian FISCHER
ST BONNET DE SALENDRINQUE;ROQUEDUR;Dmitriy MILLER
MONTCEY;BOUGNON;Nadezhda MARIN
ST DENIS DE L HOTEL;JARGEAU;Wolfgang MILLER
PUISEUX;GERMIGNY SOUS COULOMBS;Lyubov KLEIN
LECELLES;TILLOY LEZ MARCHIENNES;Olha MARTIN
VARS;ST JORY DE CHALAIS;Mariya MARTINEZ
LIES;ARGELES BAGNERES;Alexander RODRIGUEZ
MARSEILLE;PLAN DE CUQUES;Andreas WILLIAMS
TIESTE URAGNOUX;MOUREDE;Maryia WEBER
LES POULIERES;FIMENIL;Andreas FISCHER
CHENNEGY;VILLEBOUGIS;Andrey PEREZ
LES ALLIES;HAUTERIVE LA FRESSE;David POPOVA
VABRES;ST PAUL LA COSTE;Tomasz WILLIAMS
ANHAUX;PAGOLLE;Giuseppe SCHMIDT
MISCON;PEYRINS;Jean JIMENEZ
GABAT;ARAUJUZON;Evgeniy FISCHER
HAYBES;FUMAY;Dmitriy BAUER
ST MARTIN LE GAILLARD;BAROMESNIL;Vera WEBER
SOUMANS;VIJON;Petra SOKOLOVA
MORSANG SUR ORGE;MONTIGNY LENGRAIN;Thomas SANTOS
MARGENCEL;EXCENEVEX;Anne MÜLLER
LANDISACQ;LONLAY L ABBAYE;Piotr FERRARI
MARPENT;QUIEVELON;Josef RAMOS
LES LAUBIES;LES MONTS VERTS;Nikolay GONZALEZ
LA TRINITE DES LAITIERS;MARCOUSSIS;Giuseppe MARIN
STE CROIX;LE MONASTERE;Svetlana KARLSSON
VILLEBRAMAR;PEZULS;Paul SANCHEZ
LULLIN;ST PAUL EN CHABLAIS;Barbara WILLIAMS
CEIGNES;VALROMEY SUR SERAN;Irina RAMOS
CAMARADE;ST GIRONS;Paul HOFFMANN
CHAINAZ LES FRASSES;ST SYLVESTRE;Natalya BECKER
MARTHILLE;DOMMARTIN SOUS AMANCE;Vladymyr FERNANDEZ
PRINQUIAU;DONGES;Josef JIMENEZ
HARBOUEY;MIGNEVILLE;Sergey RUSSO
PALAISEUL;MEDONVILLE;Josef SMIRNOVA
VAUCHELLES LES QUESNOY;FRANCIERES;Valentyna PETROVA
ST HILAIRE DU HARCOUET;ST JEAN SUR MAYENNE;Anne KARLSSON
LASSERRE;CAMARADE;Jose BONDARENKO
VIF;BEAULIEU;Maksim JONES
PEYROLLES EN PROVENCE;NANS LES PINS;Nikolay FERNANDEZ
GOMETZ LA VILLE;CHAUFFOUR LES ETRECHY;Roman KRAVCHENKO
TAXENNE;CLEFMONT;Svetlana FISCHER
VENDENESSE SUR ARROUX;CREUZIER LE VIEUX;Marie KOVALENKO
BUSSIERES;ATTRICOURT;Serhei RODRIGUEZ
LA TRETOIRE;SIGNY SIGNETS;Laura TÓTH
FLEAC SUR SEUGNE;AVY;Andreas KLEIN
ROCHETAILLEE SUR SAONE;NEYRON;Mario THOMAS
VORLY;COURMEMIN;Dmitriy IVANOVA
MORTEMER;NULLEMONT;Claude KOVALENKO
LA ROQUE D ANTHERON;MONDRAGON;Darya SILVA
GUER;TAILLIS;Tomasz NAGY
ST GORGON;PONTCHATEAU;Jose THOMAS
LANDERSHEIM;HOHENGOEFT;Mikhail PETROVA
LES MESNULS;EPERNON;Michel KOVÁCS
MEYSSE;FREYSSENET;Brigitte SCHMIDT
BASSAN;ESPONDEILHAN;Sandra SOKOLOVA
MOUTIER D AHUN;DAMPNIAT;Klaus MARIN
CHEYLADE;BOUDES;Angela SIMON
BAYONS;LE GLAIZIL;Serhei ZIMMERMANN
LOUBAUT;CAMPAGNE SUR ARIZE;Evgeniy ROMERO
FRANCOIS;CHERVEUX;Elena RODRIGUEZ
VATTEVILLE;FLIPOU;Elisabeth SCHNEIDER
FOSSE;MONTENACH;Christine MÜLLER
NOTRE DAME DE BLIQUETUIT;MARAIS VERNIER;Anne FERRARI
SERRES;MONTCLUS;Laura MARTINEZ
ST PARTHEM;PRUDHOMAT;Mikhail MUÑOZ
ST LOUP HORS;ELLON;Andrey RUSSO
AGONGES;COULANDON;Nikolay NAGY
FRESNES EN SAULNOIS;HARAUCOURT;Marie KARLSSON
LES OMERGUES;ST AUBAN SUR L OUVEZE;Ana RODRIGUEZ
OBERHOFFEN LES WISSEMBOURG;KEFFENACH;Alexander SANTOS
LES AVENIERES VEYRINS THUELLIN;TARTARAS;Martin ROSSI
BLIEUX;ROUGON;Vladymyr HUBER
MESSIMY SUR SAONE;ST DIDIER DE FORMANS;Lyubov SMIRNOV
EPIEDS;PASSAVANT SUR LAYON;Nadezhda RUIZ
PERIGNAC;CLAIX;Evgeniy PAVLOVA
SOLESMES;ARTHEZE;Sergey WAGNER
BENAC;BARRY;Manfred NAGY
CHAMPEON;COMMER;Vladimir IVANOV
ST CALAIS;SAVIGNY SUR BRAYE;Yvan BRAUN
CREMIEU;ST MARCEL BEL ACCUEIL;Denis PAVLOVA
CHAVANATTE;MEROUX MOVAL;Eva SCHNEIDER
MANDUEL;MAYRINHAC LENTOUR;Sandra MEIER
PREMEYZEL;LEYMENT;Andrey BROWN
BUEIL;COMBS LA VILLE;John SANTOS
ST AOUSTRILLE;ISSOUDUN;Vladimir WOLF
TEMPLE LAGUYON;CHOURGNAC;Martin JONES
CLIRON;LONNY;Maria SILVA
COULADERE;CARBONNE;Yuliya HUBER
APACH;KIRSCHNAUMEN;Rosa KARLSSON
PERIGNY;LANDES LE GAULOIS;Petra ZIMMERMANN
PAYRIN AUGMONTEL;ESCOUSSENS;Elisabeth FERNANDEZ
ST AQUILIN;ST VINCENT DE CONNEZAC;Andreas KARLSSON
JOUE DU BOIS;ST CALAIS DU DESERT;Sergey BAUER
MERINDOL LES OLIVIERS;ST MARCELLIN LES VAISON;Claude SMIRNOV
ST MARTIN DU TARTRE;ST VALLERIN;Valentyna SCHÄFER
ST GENEST DE CONTEST;CAZALS;Andrei DAVIES
AMOROTS SUCCOS;MONCAYOLLE LARRORY MENDIBIEU;Mariya PAVLOVA
DOLLOT;LATRECEY ORMOY SUR AUBE;Sandra WEBER
SASSEVILLE;VEAUVILLE LES QUELLES;Marta ROBERTS
PAILLE;MONTIGNAC CHARENTE;Mario MOROZOVA
ST CHRISTOPHE DES BOIS;COMBOURTILLE;Andrey SCHULZ
COURMEMIN;ROUGEOU;Andrea SHEVCHENKO
MONTEGUT;MORMES;Michael THOMAS
VENOY;LUCY SUR YONNE;Marie MARTIN
CHIS;LALOUBERE;Alexander MEYER
COUQUEQUES;MONTMERAC;Mária KUZNETSOV
BOULIGNY;BEZONVAUX;Thomas GUTIERREZ
YGOS ST SATURNIN;OUSSE SUZAN;Nikolay SANTOS
BERCHERES SUR VESGRE;LA BOISSIERE ECOLE;Tatyana KUZNETSOVA
BAHUS SOUBIRAN;DUHORT BACHEN;Pavel KUZNETSOVA
ARBANATS;ST MICHEL DE RIEUFRET;Tomasz BONDARENKO
NOYAL PONTIVY;KERFOURN;Tatiana WILSON
ST FELIX DE L HERAS;POMPIGNAN;Andrea KRAVCHENKO
TEYRAN;ASSAS;Vera NOWAK
FESCAMPS;LABERLIERE;Vera KUZNETSOV
AVRIEUX;AUSSOIS;Marie NIELSEN
BRIE ET ANGONNES;SEYSSINS;Valentina NOVIKOVA
LE SEL DE BRETAGNE;POLIGNE;Marta VASILEVA
CONNERRE;ST MARS D OUTILLE;Jean THOMAS
AUZANCES;LE COMPAS;Darya ZIMMERMANN
ST DENIS DE GASTINES;VAUTORTE;Hans MILLER
REAL;CARCANIERES;Elisabeth KUZNETSOVA
TREBAN;CABANES;Valentina RICHTER
VOID VACON;MAXEY SUR VAISE;Piotr PETROVA
TURCKHEIM;BOUZANVILLE;Nikolay BAUER
MAZIERES EN GATINE;VOUHE;Thomas RODRIGUEZ
LURBE ST CHRISTAU;ESCOT;Antonio HANSEN
LE DOURN;CONNAC;Paul MORENO
CAVEIRAC;VAILHAUQUES;Laura PETROV
AUBOUE;MEXY;Robert ROBERTS
THEZA;CORNEILLA DEL VERCOL;Dmitriy SCHÄFER
ST SULPICE LES BOIS;AMBRUGEAT;Mariya IVANOVA
BOISSET;ST BAUZILLE DE PUTOIS;Ekaterina GOMEZ
MONTCLAR;MALVES EN MINERVOIS;Francesco POPOV
SAZERAY;NOUZERINES;Hans ROSSI
ST GERME;LA BARTHE DE NESTE;David KUZNETSOVA
SAUVETERRE DE ROUERGUE;GRAMOND;Igor THOMAS
ROINVILLE;VILLECONIN;Tatiana NIELSEN
STE MARIE DU BOIS;ST PATRICE DU DESERT;Antonio MOROZOVA
MOULINET;LA BOLLENE VESUBIE;Anna POPOVA
ARGANCHY;ST SAMSON;Oksana KRAVCHENKO
ROCHEBRUNE;VOLVENT;Ekaterina SMITH
GIVREZAC;LUYNES;Mariya GONZALEZ
ST MARCEL BEL ACCUEIL;ST RAMBERT EN BUGEY;Giovanni ROBERTS
BLANCHE EGLISE;BACOURT;Angela KRAVCHENKO
MONT ST MARTIN;FONTANIL CORNILLON;Monika ALONSO
ST SERNIN DU BOIS;CHAMPAGNY SOUS UXELLES;Richard SILVA
GOUZENS;FORNEX;Jose EVANS
SOLUTRE POUILLY;ROMANECHE THORINS;Ana KARLSSON
CLERMONT LE FORT;LABATUT;Anton SMITH
AUVERS;CLAVIERES;Mario KOVÁCS
CHAVOY;ST GEORGES DE REINTEMBAULT;Monika IVANOVA
ANSAN;BIVES;Paul RUIZ
BESSY;PLANCY L ABBAYE;Darya BECKER
WOUSTVILLER;NEUFGRANGE;Christine HOFFMANN
BARZUN;BENAC;Serhei PETROVA
CONDE NORTHEN;LUPPY;Christine ROSSI
VEZAC;BIO;Roman JIMENEZ
TOURVILLE LA RIVIERE;CANTELEU;Tomasz RUSSO
SERBANNES;ENVAL;John MAGOMEDOV
VILLERS LE TILLEUL;VILLERS SUR LE MONT;Mária SHEVCHENKO
OUCQUES LA NOUVELLE;LHOMME;Marie MUÑOZ
ST AUBIN DES BOIS;LA BLOUTIERE;Thomas RODRIGUEZ
PUSY ET EPENOUX;COLOMBIER;Juan PEREZ
CHASSAGNE;LAVOUTE CHILHAC;Marina VOLKOVA
ST MAURICE LE GIRARD;LA JARRIE AUDOUIN;Nikolay GONZALEZ
MARCELLUS;BROUQUEYRAN;Denis RUSSO
UZESTE;AIGNAN;Patrick KLEIN
VALLEES D ANTRAIGUES ASPERJOC;ST PRIVAT;Lyubov MOROZOVA
LA FORCE;PARCOUL CHENAUD;Robert KOVALENKO
CHARLY SUR MARNE;MONTFERMEIL;Werner WEBER
QUISSAC;ST THEODORIT;Claude WILSON
OISSEAU LE PETIT;PERAY;Aleksey MÜLLER
ST GERMAIN DU PINEL;BALLOTS;Valentyna MÜLLER
ST ESTEPHE;VENDAYS MONTALIVET;Angela PEREIRA
SALLES DE BELVES;PARRANQUET;Christine FERREIRA
LA BOSSE;TIGNES;Hans POPOVA
VINCELLES;SERINGES ET NESLES;Elisabeth WILLIAMS
ST NICOLAS DE LA HAIE;HAUTOT LE VATOIS;Monika SMIRNOVA
GAMARDE LES BAINS;BALIRACQ MAUMUSSON;Nykolai NAGY
LEZINNES;ETOURVY;Andrea PEREZ
DURENQUE;PONT DE SALARS;Marta JIMENEZ
LAFRESGUIMONT ST MARTIN;FOUILLOY;Claude SCHMIDT
VILLEDOMER;VILLEBAROU;Christian EVANS
VAUVILLE;BRANVILLE;Daniel BAUER
CELSOY;GOUMOIS;Andreas ALVAREZ
SEVRES ANXAUMONT;NOUIC;Martin WILLIAMS
ST BONNET LAVAL;ST JEAN ET ST PAUL;Maksim JOHNSON
CHENECEY BUILLON;SALAGNON;Sandra HANSEN
ETAULES;BREUILLET;Andrei NIELSEN
CERANS FOULLETOURTE;LA SUZE SUR SARTHE;Michael GONZALEZ
TRANZAULT;MEUSNES;Piotr POPOV
GALEY;ARGEIN;Maryia POPOVA
VERTAIZON;ESPIRAT;Francisco PEREIRA
CHALEZEULE;CERNANS;Serhei WOLF
JONS;ANNOISIN CHATELANS;Ekaterina DIAZ
TRIQUEVILLE;FORT MOVILLE;Marta DAVIES
BEAUVOIR EN ROYANS;PRESLES;Irina THOMAS
THUREY LE MONT;VALLEROY;Giuseppe BONDARENKO
CHARENS;ST PERAY;Vladymyr SOKOLOVA
FOUGAX ET BARRINEUF;RAISSAC;Dmitriy SCHÄFER
ST PIERRE DU PERRAY;MONTIGNY LENCOUP;Denis FISCHER
STE TULLE;QUINSON;Brigitte KRAVCHENKO
ST CHRIST BRIOST;ESTREES DENIECOURT;Anna WILSON
AIGLUN;CHAUDON NORANTE;Christian VARGA
OUISTREHAM;CRICQUEVILLE EN AUGE;Patrick ROSSI
LAMNAY;THORIGNE SUR DUE;Martin GOMEZ
ERNEMONT BOUTAVENT;ULLY ST GEORGES;Juan TÓTH
ST THOMAS EN ROYANS;ST FIRMIN EN VALGODEMARD;Vera NOWAK
AVANCON;TREMINIS;Andreas JIMENEZ
SERIGNE;STE HERMINE;Juan TAYLOR
UNCEY LE FRANC;MARCIGNY SOUS THIL;Yuliya COSTA
ST GIRONS;SERRES SUR ARGET;Marina MARTINEZ
ST GEORGES BLANCANEIX;LARTIGUE;Thomas RAMOS
ST PAUL DE VARCES;AUTRANS MEAUDRE EN VERCORS;Jose HERNANDEZ
COURCELLES SUR SEINE;SAVINS;Werner MOROZOVA
ST JULIEN EN BORN;PONTENX LES FORGES;Klaus COSTA
ADAMSWILLER;DURSTEL;Richard TÓTH
LOUBERS;CAMPAGNAC;Peter POPOVA
CORVEISSIAT;PEYRIAT;Anne GONZALEZ
ESTIVAUX;CHAMBOULIVE;Olha JONES
WAMIN;WILLEMAN;Barbara VASILEVA
VILLERS FRANQUEUX;VIEL ST REMY;Ana HERNANDEZ
VERDERONNE;MOGNEVILLE;Antonio ALVAREZ
CORENC;LA SALLE EN BEAUMONT;Mariya MOROZOVA
POLIENAS;CHARNECLES;Elena TAYLOR
STOSSWIHR;LE MENIL;Mariya HUBER
VAL DE VIERE;ST GIBRIEN;Tatiana KARLSSON
ST MARCELLIN LES VAISON;ST ROMAIN EN VIENNOIS;Nadezhda SMIRNOVA
ST MAURICE EN COTENTIN;ST PIERRE D ARTHEGLISE;Christine JOHNSON
ST FLORENT SUR AUZONNET;STE CECILE D ANDORGE;Yuliya TÓTH
ST JACQUES D ATTICIEUX;SABLONS;Aleksey PETROV
LAIZE;BLACE;Ekaterina RAMOS
VALEYRAC;CHENAC ST SEURIN D UZET;Irina MARTINEZ
LA FORCLAZ;GOUX SOUS LANDET;Yvan JOHNSON
VONGES;CHAMPAGNEY;Aleksandr TÓTH
OFFRANVILLE;THIL MANNEVILLE;Anna MUÑOZ
TORCY;LISSES;Olga JOHANSSON
LA TOMBE;BOISVILLE LA ST PERE;Barbara GARCIA
THEUVILLE;ST JEAN PIERRE FIXTE;Marie BAUER
MASEVAUX NIEDERBRUCK;ETUEFFONT;Oksana NAGY
MARCILLY EN GAULT;VEILLEINS;Oksana SZABÓ
THIGNONVILLE;BAULNE;Yvan VOLKOVA
BONNECOURT;LA ROMAINE;Jan MILLER
MONTFRIN;SANILHAC SAGRIES;Igor BONDARENKO
CONLIEGE;PERRIGNY;Francisco ALONSO
SOUSTONS;SEIGNOSSE;Elena MARTINEZ
HELLEAN;TREAL;Patrick GUTIERREZ
FRANCLENS;COLOMIEU;Christian PAVLOVA
SAVIGNARGUES;BRAGASSARGUES;Elena SILVA
BOULLAY LES TROUX;LA QUEUE LES YVELINES;Marta SANTOS
THEZAC;MEURSAC;Ivan NAVARRO
ROSNAY;THIRE;Thomas SOKOLOVA
GURGY LE CHATEAU;ARCONVILLE;Tatyana RAMOS
JUMELLES;MAULETTE;Angela GARCIA
FOUCART;NORVILLE;Jean SMIRNOV
FOURNEAUX;LA CHAPELLE SUR COISE;Sergey KLEIN
NOAILLAC;CABARA;Thomas ROSSI
ORCINES;GERZAT;Mario SHEVCHENKO
LOUZES;DOMFRONT EN POIRAIE;Darya KUZNETSOV
TRAVAILLAN;MARUEJOLS LES GARDON;Jean RUIZ
ST PIERRE;MIRAMBEAU;Vladimir KARLSSON
LE ROULIER;ST ETIENNE LES REMIREMONT;Maryia FERREIRA
ST NECTAIRE;PLAUZAT;Aleksandr MAGOMEDOV
ALZING;MEGANGE;Aleksey JOHNSON
ST ETIENNE LE LAUS;LE REVEST LES EAUX;Sandra SZABÓ
BRAYE SOUS FAYE;VILLEPERDUE;Valentina MÜLLER
QUEMENEVEN;ST SEGAL;Tomasz SCHULZ
BOUGEY;STE REINE;Vera PETROVA
PINOLS;LA CHOMETTE;Mario PETROVA
CIREY SUR VEZOUZE;NONHIGNY;Lyubov NAVARRO
COMMENAILLES;LA CHARME;Marta MEIER
DANESTAL;DRUBEC;Elisabeth MARTIN
FULIGNY;LA ROTHIERE;Yuliya MEYER
CHAPELON;BROUY;Claude KLEIN
ST JULIEN MONT DENIS;LES BELLEVILLE;Andrea POPOV
ASTE;BERNAC DEBAT;Vasylyi LOPEZ
BONNEVILLE LA LOUVET;LE TORPT;Giuseppe JENSEN
BIAS;ST JULIEN EN BORN;Alina MUÑOZ
LES ORMES;USSEAU;Marie VARGA
AGRIS;HAUTEFAYE;Giovanni SCHÄFER
JUNAS;VIOLS EN LAVAL;Anna KOVÁCS
TOSSE;SAUBION;Anne NAGY
FOURNETS LUISANS;PREMANON;Nadezhda POPOVA
PUY SANIERES;MONTGARDIN;Lyubov NIELSEN
BREVILLERS;BEUVREQUEN;Nadezhda ROMERO
BEAUZAC;LES HALLES;Andrei GARCIA
LOUVIE SOUBIRON;ARBEOST;Martin JENSEN
NANTOIS;MENAUCOURT;Claude ROMERO
PUYLOUBIER;ROUSSET;Valentyna KOCH
ST CIERS SUR GIRONDE;ORDONNAC;Andreas PETROVA
LE BOUCHAGE;ST SORLIN DE MORESTEL;Mikhail RUIZ
VAL DE VIE;LES CHAMPEAUX;Anton SHEVCHENKO
CHOMELIX;EGLISENEUVE DES LIARDS;Maria FERRARI
NEBING;INSMING;Vladymyr FERREIRA
ST BERAIN;VERGEZAC;Andrei RUSSO
LUANT;BRASSY;Giovanni MORENO
CAZAUX VILLECOMTAL;BLOUSSON SERIAN;Michael SILVA
LABATHUDE;NEUVILLE;Klaus JONES
VEROSVRES;ST VINCENT DES PRES;Paul MORENO
NEVIAN;ST CHINIAN;Michel ALVAREZ
MECQUIGNIES;PONT SUR SAMBRE;Vera GOMEZ
MONTPON MENESTEROL;COUTRAS;Vladimir KOVALENKO
POILLE SUR VEGRE;GUECELARD;Oksana RODRIGUEZ
MORTERY;MONTGENOST;Olga HUBER
VALLEREUIL;BOUCAU;Marta ROBERTS
VILLETTE LES ARBOIS;ABERGEMENT LE GRAND;Nikolay ANDERSSON
REUX;ST PHILBERT DES CHAMPS;Denis JONES
CASTERA VIGNOLES;MONTBERNARD;Christian SMITH
ORNON;MIRIBEL LES ECHELLES;Aleksandra KOCH
CINTRE;MONTERFIL;Claude KLEIN
CRESTET;UCHAUX;Ana NOVIKOVA
MONTJEAN;BIOUSSAC;John HOFFMANN
BLIES EBERSING;GROSBLIEDERSTROFF;Francisco SMIRNOV
BEAUMONT EN BEINE;ABBECOURT;David WEBER
LE GRAND VILLAGE PLAGE;LE VERDON SUR MER;Mária HANSEN
BELIN BELIET;MOUSTEY;Sandra SMIRNOV
BARST;TORCHEVILLE;Petra BROWN
CHALAIS;POUILLAC;Monika FERRARI
LA VERDIERE;PIERRERUE;Marie KUZNETSOV
MANTILLY;LA COULONCHE;Rosa TÓTH
MASSEUBE;BELLEGARDE;Giovanni SHEVCHENKO
GEVRESIN;LENT;Yvan KOVÁCS
LAVAUFRANCHE;ST MARTIAL LE MONT;Sandra BAUER
TALLOIRES MONTMIN;MASSINGY;Maryia KUZNETSOV
GAJA ET VILLEDIEU;LIMOUX;Laura SMIRNOVA
NORON L ABBAYE;VIGNATS;Jean POPOV
ROUSSILLON;MARGUERITTES;Mikhail JOHANSSON
DOURLERS;BERSILLIES;Evgeniy RUSSO
LE QUESNEL AUBRY;HAUDIVILLERS;Francisco SHEVCHENKO
BASSEMBERG;RORSCHWIHR;Ana KOVÁCS
ST ELOY LES MINES;STE THERENCE;Aleksandra NIELSEN
LES AUXONS;SANCEY;Nykolai BONDARENKO
LIVERDUN;VILLERS LE SEC;Pavel TORRES
ST HILAIRE LE VOUHIS;CHATEAU GUIBERT;Christian KOCH
TRIAC LAUTRAIT;VIVONNE;Vera WEBER
MERLAS;ST JOSEPH DE RIVIERE;Andrei HUBER
ARESSY;REBENACQ;Andrea SMIRNOV
AUTHIEUX RATIEVILLE;BRUERE ALLICHAMPS;Valentina ZIMMERMANN
DONNAY;AMAYE SUR ORNE;Juan MARTINEZ
CONCA;HAUT DU THEM CHATEAU LAMBERT;Christian MARTINEZ
BONNEVENT VELLOREILLE;VILLERS CHEMIN MONT LES ETRELLES;Vera MORENO
MONTAGNOLE;PORTE DE SAVOIE;Pavel TAYLOR
CHOISY EN BRIE;STE GENEVIEVE DES BOIS;Elisabeth SMITH
EFFINCOURT;PAROY SUR SAULX;Andrey DAVIES
CHEVANNAY;VAUDES;Mario HANSEN
BARREME;CASTELLANE;Vladymyr MUÑOZ
DAMMARIE EN PUISAYE;LE MOULINET SUR SOLIN;Werner SANCHEZ
MESNIL SUR L ESTREE;LE MESNIL FUGUET;Nykolai POPOV
ST MARTIN DU FRENE;VILLEMOTIER;Lyubov SIMON
MANTOCHE;BIONCOURT;Ana SOKOLOVA
LA CHAPELLE SUR ERDRE;HERIC;John MEIER
GEVILLE;MONTSEC;Peter KUZNETSOV
MIRIBEL LES ECHELLES;ST ETIENNE DE ST GEOIRS;Christian SOKOLOVA
LES AUTHIEUX DU PUITS;GODISSON;Patrick RICHTER
SERIGNAN;CONILHAC CORBIERES;Claude SMIRNOV
MOLOY;QUETIGNY;Vladymyr KOCH
PAGNY SUR MOSELLE;LATOUR EN WOEVRE;Aleksey PEREIRA
COULOMBS EN VALOIS;SILLY LA POTERIE;Sandra SCHULZ
ORCEVAUX;LE VAL D ESNOMS;Marina PETROV
AUDENGE;LE TEMPLE;Karin SMITH
GRIGNAN;ST MARCEL LES SAUZET;David SCHULZ
BIAS;ST MAGNE;Pavel SANTOS
SAUVAGNAT;LAFAGE SUR SOMBRE;Maryia PEREZ
CHAUFFOUR LES BAILLY;VILLY LE BOIS;Pavel RODRIGUEZ
BALLOTS;PIRE CHANCE;Denis WOLF
SAULMORY VILLEFRANCHE;SY;Maksim ANDERSSON
COUDURES;LARRIVIERE ST SAVIN;Tatiana SCHÄFER
SEYSSUEL;LOIRE SUR RHONE;Vasylyi MOROZOVA
EZANVILLE;COYE LA FORET;Ana PEREZ
DRUBEC;BEAUMONT EN AUGE;Anastasiya SZABÓ
KERGRIST MOELOU;TREMARGAT;Tatyana NAVARRO
LIERVILLE;FONTAINE EN BRAY;Andrea PEREIRA
RIVES D ANDAINE;CHAMP HAUT;Serhei IVANOVA
GABIAN;FOUZILHON;Valentina NIELSEN
LE SEURE;BURIE;Hans MILLER
CHAMBLAC;GOUFFERN EN AUGE;Sergey SOKOLOVA
FONTANGES;PERET BEL AIR;Mariya MAGOMEDOV
ST QUENTIN FALLAVIER;LAYS SUR LE DOUBS;Darya FERRARI
BILHAC;BLAYMONT;Giovanni JOHNSON
POUILLAT;CHAMPAGNAT;Tomasz TAYLOR
SALERANS;SALEON;Roman JENSEN
LEYMENT;LYON;Alina PEREZ
DIEDENDORF;HONSKIRCH;Marie KLEIN
VEBRON;CANS ET CEVENNES;Tomasz KRAVCHENKO
ST AUNIX LENGROS;SAMSONS LION;Martin GOMEZ
MONTHAULT;MOEZE;Evgeniy FISCHER
LA LUZERNE;MAISONCELLES SUR AJON;Piotr ALVAREZ
BLANDAS;VAISON LA ROMAINE;Ana KARLSSON
FESCAMPS;EVIGNY;Mária SCHÄFER
SORBIER;STE THERENCE;Klaus GONZALEZ
AUMELAS;LIEURAN CABRIERES;Aleksandr MAGOMEDOV
CASTELNAU D AUDE;VILLEDUBERT;Francisco BAUER
BURSARD;LE CHALANGE;Yuliya KOCH
MOIRANS EN MONTAGNE;CRENANS;Serhei RUIZ
LA LATETTE;FORT DU PLASNE;Aleksey MEIER
LARIVIERE;ANGEOT;Mariya RUSSO
BREBAN;SOMPUIS;Juan KUZNETSOV
SOUGE;STE SEVERE SUR INDRE;Nikolay SMIRNOVA
BOUTX;ARGUT DESSOUS;Valentyna HUBER
ST DENIS COMBARNAZAT;GRATENTOUR;Yuliya RUIZ
BELVAL;CAMPROND;Andreas SOKOLOVA
LUNAS;LE FLEIX;Jan SCHNEIDER
EPPING;KERBACH;Alina MARTIN
MIRABEAU;GINASSERVIS;Andrei PAVLOVA
PRETIN;IVORY;Laura VARGA
NEYRON;ST VALLIER;Anton ROMERO
LEGE;ANGLIERS;John COSTA
ST PAUL;ST PIERRE D ALVEY;Svetlana FERNANDEZ
ST MARTIAL DE MIRAMBEAU;VILLEXAVIER;Marta JIMENEZ
FONCINE LE HAUT;BIEF DES MAISONS;Vladimir KRAVCHENKO
COLOMBIERS;LONRAI;Tatiana RAMOS
MARCILLAC VALLON;VALADY;Laura SCHULZ
COLLONGES SOUS SALEVE;ST HYMETIERE SUR VALOUSE;Serhei PETROVA
GAVAUDUN;PONTCIRQ;Marta ROBERTS
AIZENAY;FAYE SUR ARDIN;Eva KARLSSON
VENDEMIAN;VAILHAUQUES;John MARTINEZ
LEMENIL MITRY;SELAINCOURT;Igor HERNANDEZ
VILLERS LES POTS;CHEVIGNY;Robert SILVA
MESTERRIEUX;TAILLECAVAT;Elena WILLIAMS
PUYGROS;LA MOTTE EN BAUGES;Vladimir HERNANDEZ
AIGUILLES;CERVIERES;Ana VARGA
BANVILLE;GACE;Yuliya SMIRNOV
FELICETO;L ESCARENE;Antonio ROMERO
LA ROCHEFOUCAULD EN ANGOUMOIS;YVRAC ET MALLEYRAND;Sandra MORENO
BAVENT;CESNY LES SOURCES;Sergey ROBERTS
